Wavelength (nm),% Transmission,,,,,,,,,,
406,0.00059405,,,,,,,,,,
406.2,0.00079183,,,,,,,,,,
406.4,0.00087047,,,,,,,,,,
406.6,0.00090118,,,,,,,,,,
406.8,0.00070649,,,,,,,,,,
407,0.00081186,,,,,,,,,,
407.2,0.00091907,,,,,,,,,,
407.4,0.00063628,,,,,,,,,,
407.6,0.00075479,,,,,,,,,,
407.8,0.00080899,,,,,,,,,,
408,0.00075390,,,,,,,,,,
408.2,0.00074768,,,,,,,,,,
408.4,0.00066334,,,,,,,,,,
408.6,0.00096689,,,,,,,,,,
408.8,0.00072854,,,,,,,,,,
409,0.00097119,,,,,,,,,,
409.2,0.00055100,,,,,,,,,,
409.4,0.00088087,,,,,,,,,,
409.6,0.00066591,,,,,,,,,,
409.8,0.00084188,,,,,,,,,,
410,0.00093431,,,,,,,,,,
410.2,0.00092214,,,,,,,,,,
410.4,0.00078943,,,,,,,,,,
410.6,0.00058811,,,,,,,,,,
410.8,0.00083033,,,,,,,,,,
411,0.00077352,,,,,,,,,,
411.2,0.00102310,,,,,,,,,,
