Typical Measured Spectrum of Semrock FF01-607/70 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
456.2	3.5861e-08
456.4	3.5907e-08
456.6	3.5953e-08
456.8	3.5999e-08
457.0	3.6127e-08
457.2	3.656e-08
457.4	3.6998e-08
457.6	3.7441e-08
457.8	3.789e-08
458.0	3.8344e-08
458.2	3.8803e-08
458.4	3.9268e-08
458.6	3.9739e-08
458.8	4.0215e-08
459.0	4.0696e-08
459.2	4.1184e-08
459.4	4.1677e-08
459.6	4.2177e-08
459.8	4.2682e-08
460.0	4.3194e-08
460.2	4.3711e-08
460.4	4.4235e-08
460.6	4.4765e-08
460.8	4.5301e-08
461.0	4.5844e-08
461.2	4.6393e-08
461.4	4.6949e-08
461.6	4.7511e-08
461.8	4.8081e-08
462.0	4.7415e-08
462.2	4.2881e-08
462.4	3.8782e-08
462.6	3.5074e-08
462.8	3.172e-08
463.0	2.8687e-08
463.2	2.5945e-08
463.4	2.3464e-08
463.6	2.1221e-08
463.8	1.9192e-08
464.0	1.7357e-08
464.2	1.5697e-08
464.4	1.4196e-08
464.6	1.2839e-08
464.8	1.1612e-08
465.0	1.0501e-08
465.2	9.4973e-09
465.4	8.5893e-09
465.6	7.7681e-09
465.8	7.0254e-09
466.0	6.3537e-09
466.2	5.7462e-09
466.4	5.1968e-09
466.6	4.6999e-09
466.8	4.2506e-09
467.0	4.0627e-09
467.2	4.6045e-09
467.4	5.2186e-09
467.6	5.9146e-09
467.8	6.7034e-09
468.0	7.5974e-09
468.2	8.6107e-09
468.4	9.759e-09
468.6	1.1061e-08
468.8	1.2536e-08
469.0	1.4207e-08
469.2	1.6102e-08
469.4	1.825e-08
469.6	2.0684e-08
469.8	2.3442e-08
470.0	2.6569e-08
470.2	3.0112e-08
470.4	3.4128e-08
470.6	3.8679e-08
470.8	4.3838e-08
471.0	4.9684e-08
471.2	5.631e-08
471.4	6.382e-08
471.6	7.2332e-08
471.8	8.1978e-08
472.0	9.0429e-08
472.2	9.1966e-08
472.4	9.3528e-08
472.6	9.5118e-08
472.8	9.6734e-08
473.0	9.8378e-08
473.2	1.0005e-07
473.4	1.0175e-07
473.6	1.0348e-07
473.8	1.0524e-07
474.0	1.0703e-07
474.2	1.0884e-07
474.4	1.1069e-07
474.6	1.1257e-07
474.8	1.1449e-07
475.0	1.1643e-07
475.2	1.1841e-07
475.4	1.2042e-07
475.6	1.2247e-07
475.8	1.2455e-07
476.0	1.2667e-07
476.2	1.2882e-07
476.4	1.3101e-07
476.6	1.3324e-07
476.8	1.355e-07
477.0	1.3777e-07
477.2	1.3999e-07
477.4	1.4225e-07
477.6	1.4454e-07
477.8	1.4687e-07
478.0	1.4924e-07
478.2	1.5165e-07
478.4	1.5409e-07
478.6	1.5658e-07
478.8	1.591e-07
479.0	1.6167e-07
479.2	1.6428e-07
479.4	1.6692e-07
479.6	1.6962e-07
479.8	1.7235e-07
480.0	1.7513e-07
480.2	1.7795e-07
480.4	1.8082e-07
480.6	1.8374e-07
480.8	1.867e-07
481.0	1.8971e-07
481.2	1.9277e-07
